ProductID,ProductName,Category,UnitPrice
1,UltraHD Television Model X1,Gaming,631.07
2,Smart Refrigerator Series A,Smart Home,56.71
3,Bluetooth Speaker Pro,Personal Devices,71.91
4,Wireless Noise-Cancelling Headphones,Smart Home,548.54
5,4K Action Camera,Smart Home,429.87
6,Smartphone Z10,Home Appliances,94.33
7,Gaming Laptop G15,Personal Devices,975.07
8,Electric Scooter S2,Personal Devices,271.13
9,Smartwatch Series 5,Personal Devices,136.08
10,Home Automation Hub,Smart Home,637.47
11,LED Lighting Panel,Gaming,413.34
12,Portable Power Bank 10000mAh,Personal Devices,984.07
13,Digital Thermostat T100,Smart Home,493.42
14,Robot Vacuum Cleaner RV,Home Appliances,866.94
15,Drone Quadcopter Q5,Gaming,696.29
16,Smart Oven SO200,Home Appliances,477.97
17,Wireless Charger Pad,Gaming,62.6
18,Virtual Reality Headset VRX,Smart Home,945.09
19,Smart Doorbell DB3,Consumer Electronics,585.12
20,Fitness Tracker FT7,Gaming,416.15
